dataset,weighting,dim,modality,method,metric,mean,ci_low,ci_high,n,n_boot,seed,evaluation_seed
ml-1m,bm25,128,u2i,flatpq,hr,0.08965860125952933,0.08286377195889957,0.0967848856479947,6034,2000,42,42
ml-1m,bm25,128,u2i,flatpq,map,0.030000434048329312,0.02681690328877104,0.033404084855133076,6034,2000,42,42
ml-1m,bm25,128,u2i,flatpq,mrr,0.030000434048329312,0.02681690328877104,0.033404084855133076,6034,2000,42,42
ml-1m,bm25,128,u2i,flatpq,ndcg,0.043712458951073244,0.03992923066394709,0.047721949475894386,6034,2000,42,42
ml-1m,bm25,128,u2i,flatpq,precision,0.008965860125952933,0.008286377195889956,0.00967848856479947,6034,2000,42,42
ml-1m,bm25,128,u2i,flatpq,recall,0.08965860125952933,0.08286377195889957,0.0967848856479947,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,ann_recall_vs_exact,0.9993039443155451,0.9990387802452769,0.9995359628770303,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,hr,0.0951276102088167,0.08816705336426914,0.10275107722903547,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,map,0.03477674132297931,0.03126422494751961,0.038496038980170566,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,mrr,0.03477674132297931,0.03126422494751961,0.038496038980170566,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,ndcg,0.04876195909688952,0.04465548144384086,0.05317692543649033,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,precision,0.009512761020881671,0.008816705336426915,0.010275107722903546,6034,2000,42,42
ml-1m,bm25,128,u2i,hnsw,recall,0.0951276102088167,0.08816705336426914,0.10275107722903547,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,ann_recall_vs_exact,0.9998176997016903,0.9996851176665562,0.999933708982433,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,hr,0.0951276102088167,0.08816705336426914,0.10275107722903547,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,map,0.03477674132297931,0.03126422494751961,0.038496038980170566,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,mrr,0.03477674132297931,0.03126422494751961,0.038496038980170566,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,ndcg,0.04876195909688952,0.04465548144384086,0.05317692543649033,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,precision,0.009512761020881671,0.008816705336426915,0.010275107722903546,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfflat,recall,0.0951276102088167,0.08816705336426914,0.10275107722903547,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,ann_recall_vs_exact,0.7436360623135566,0.7402212462711303,0.7468681637388135,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,hr,0.0952933377527345,0.08816705336426914,0.10291680477295327,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,map,0.033558183520894826,0.030258135446754108,0.03709605555292496,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,mrr,0.033558183520894826,0.030258135446754108,0.03709605555292496,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,ndcg,0.047833271918989374,0.043900596550223006,0.05206865027802998,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,precision,0.00952933377527345,0.008816705336426915,0.010291680477295327,6034,2000,42,42
ml-1m,bm25,128,u2i,ivfpq,recall,0.0952933377527345,0.08816705336426914,0.10291680477295327,6034,2000,42,42
ml-20m,bm25,128,i2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,2000,42,42
ml-20m,bm25,128,i2i,flat,hr,0.0885,0.0832,0.0943,10000,2000,42,42
ml-20m,bm25,128,i2i,flat,map,0.037293571428571426,0.034360421626984126,0.0403103363095238,10000,2000,42,42
