dataset,weighting,modality,method,metric,mean,ci_low,ci_high,n,n_boot
ml-1m,bm25,u2i,ivfflat,ann_recall_vs_exact,0.9997680967367899,0.9996190160675832,0.9999006128871956,6037,1000
ml-1m,bm25,u2i,ivfpq,recall,0.09110485340400862,0.08397796918999503,0.0980660924300149,6037,1000
ml-1m,bm25,u2i,ivfpq,precision,0.009110485340400862,0.008397796918999504,0.009806609243001491,6037,1000
ml-1m,bm25,u2i,ivfpq,hr,0.09110485340400862,0.08397796918999503,0.0980660924300149,6037,1000
ml-1m,bm25,u2i,ivfpq,ndcg,0.04598580485028114,0.04217240644677216,0.050281569096026525,6037,1000
ml-1m,bm25,u2i,ivfpq,map,0.032389418690561646,0.02904212712085,0.035891613160641656,6037,1000
ml-1m,bm25,u2i,ivfpq,mrr,0.032389418690561646,0.02904212712085,0.035891613160641656,6037,1000
ml-1m,bm25,u2i,ivfpq,ann_recall_vs_exact,0.7171442769587543,0.7137145933410636,0.7205590525095247,6037,1000
ml-20m,bm25,i2i,flat,recall,0.0907,0.0849,0.09610250000000001,10000,1000
ml-20m,bm25,i2i,flat,precision,0.009070000000000002,0.008490000000000001,0.00961025,10000,1000
ml-20m,bm25,i2i,flat,hr,0.0907,0.0849,0.09610250000000001,10000,1000
ml-20m,bm25,i2i,flat,ndcg,0.051688387548806745,0.04816289697986301,0.05538669370912903,10000,1000
ml-20m,bm25,i2i,flat,map,0.039901984126984126,0.03680609424603175,0.043089596230158726,10000,1000
ml-20m,bm25,i2i,flat,mrr,0.039901984126984126,0.03680609424603175,0.043089596230158726,10000,1000
ml-20m,bm25,i2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,1000
ml-20m,bm25,i2i,flatpq,recall,0.0897,0.0842,0.0949,10000,1000
ml-20m,bm25,i2i,flatpq,precision,0.008970000000000002,0.00842,0.00949,10000,1000
ml-20m,bm25,i2i,flatpq,hr,0.0897,0.0842,0.0949,10000,1000
ml-20m,bm25,i2i,flatpq,ndcg,0.05127164448487111,0.047685910407822205,0.05471958537276665,10000,1000
ml-20m,bm25,i2i,flatpq,map,0.03963194444444445,0.03645071527777778,0.042819307539682536,10000,1000
ml-20m,bm25,i2i,flatpq,mrr,0.03963194444444445,0.03645071527777778,0.042819307539682536,10000,1000
ml-20m,bm25,i2i,flatpq,ann_recall_vs_exact,0.8347100000000002,0.8326897500000001,0.8364902500000002,10000,1000
ml-20m,bm25,i2i,hnsw,recall,0.0907,0.0849,0.09610250000000001,10000,1000
ml-20m,bm25,i2i,hnsw,precision,0.009070000000000002,0.008490000000000001,0.00961025,10000,1000
ml-20m,bm25,i2i,hnsw,hr,0.0907,0.0849,0.09610250000000001,10000,1000
ml-20m,bm25,i2i,hnsw,ndcg,0.051688387548806745,0.04816289697986301,0.05538669370912903,10000,1000
ml-20m,bm25,i2i,hnsw,map,0.039901984126984126,0.03680609424603175,0.043089596230158726,10000,1000
ml-20m,bm25,i2i,hnsw,mrr,0.039901984126984126,0.03680609424603175,0.043089596230158726,10000,1000
ml-20m,bm25,i2i,hnsw,ann_recall_vs_exact,0.99966,0.99949,0.9998,10000,1000
ml-20m,bm25,i2i,ivfflat,recall,0.0903,0.08469499999999999,0.0957,10000,1000
ml-20m,bm25,i2i,ivfflat,precision,0.00903,0.0084695,0.00957,10000,1000
ml-20m,bm25,i2i,ivfflat,hr,0.0903,0.08469499999999999,0.0957,10000,1000
ml-20m,bm25,i2i,ivfflat,ndcg,0.051528495453331075,0.047931580882672284,0.05509834750318671,10000,1000
ml-20m,bm25,i2i,ivfflat,map,0.039812460317460316,0.036703416666666676,0.043048859126984126,10000,1000
ml-20m,bm25,i2i,ivfflat,mrr,0.039812460317460316,0.036703416666666676,0.043048859126984126,10000,1000
ml-20m,bm25,i2i,ivfflat,ann_recall_vs_exact,0.9890300000000001,0.9882697499999998,0.98975,10000,1000
ml-20m,bm25,i2i,ivfpq,recall,0.0901,0.0846975,0.09520250000000001,10000,1000
ml-20m,bm25,i2i,ivfpq,precision,0.009009999999999999,0.00846975,0.00952025,10000,1000
ml-20m,bm25,i2i,ivfpq,hr,0.0901,0.0846975,0.09520250000000001,10000,1000
ml-20m,bm25,i2i,ivfpq,ndcg,0.05120460396063023,0.04764158907918672,0.0546349942190062,10000,1000
ml-20m,bm25,i2i,ivfpq,map,0.039408373015873015,0.03638909226190477,0.04250865873015873,10000,1000
ml-20m,bm25,i2i,ivfpq,mrr,0.039408373015873015,0.03638909226190477,0.04250865873015873,10000,1000
ml-20m,bm25,i2i,ivfpq,ann_recall_vs_exact,0.8748800000000003,0.8731690000000002,0.8765100000000002,10000,1000
ml-20m,bm25,u2i,flat,recall,0.0867,0.0809,0.0922025,10000,1000
ml-20m,bm25,u2i,flat,precision,0.008669999999999999,0.00809,0.009220250000000003,10000,1000
ml-20m,bm25,u2i,flat,hr,0.0867,0.0809,0.0922025,10000,1000
ml-20m,bm25,u2i,flat,ndcg,0.04462771335874443,0.04142879696502002,0.04790708859572537,10000,1000
ml-20m,bm25,u2i,flat,map,0.031960357142857145,0.02940359226190476,0.0348175119047619,10000,1000
ml-20m,bm25,u2i,flat,mrr,0.031960357142857145,0.02940359226190476,0.0348175119047619,10000,1000
ml-20m,bm25,u2i,flat,ann_recall_vs_exact,1.0,1.0,1.0,10000,1000
ml-20m,bm25,u2i,flatpq,recall,0.084,0.0784,0.08980250000000001,10000,1000
ml-20m,bm25,u2i,flatpq,precision,0.008400000000000001,0.00784,0.008980250000000002,10000,1000
ml-20m,bm25,u2i,flatpq,hr,0.084,0.0784,0.08980250000000001,10000,1000
ml-20m,bm25,u2i,flatpq,ndcg,0.042857968689541996,0.03970655421493556,0.04625280248542153,10000,1000
ml-20m,bm25,u2i,flatpq,map,0.03050515873015873,0.027779342261904764,0.0332596121031746,10000,1000
ml-20m,bm25,u2i,flatpq,mrr,0.03050515873015873,0.027779342261904764,0.0332596121031746,10000,1000
ml-20m,bm25,u2i,flatpq,ann_recall_vs_exact,0.5763699999999999,0.5726797499999999,0.58013075,10000,1000
ml-20m,bm25,u2i,hnsw,recall,0.0867,0.0809,0.0922025,10000,1000
