dataset,weighting,dim,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n,seed,evaluation_seed
ml-1m,bm25,128,u2i,ivfflat,flat,ndcg,0.0,0.0,negligible,-0.0003979999999999956,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfflat,flat,precision,0.0,0.0,negligible,-0.0004175000000000012,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfflat,flat,recall,0.0,0.0,negligible,-0.0004175000000000012,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfpq,flat,hr,0.0001657275439178041,0.0009314185040617015,negligible,-9.499999999999786e-05,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfpq,flat,map,-0.0012185578020844842,-0.016355142424063194,negligible,-0.0003554999999999947,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfpq,flat,mrr,-0.0012185578020844842,-0.016355142424063194,negligible,-0.0003554999999999947,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfpq,flat,ndcg,-0.0009286871779001435,-0.011465750324651473,negligible,-0.0003554999999999947,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfpq,flat,precision,1.6572754391779368e-05,0.0009314185040617028,negligible,-9.499999999999786e-05,negligible,6034,42,42
ml-1m,bm25,128,u2i,ivfpq,flat,recall,0.0001657275439178041,0.0009314185040617015,negligible,-9.499999999999786e-05,negligible,6034,42,42
ml-20m,bm25,128,i2i,flatpq,flat,hr,0.0005000000000000004,0.003940385591842607,negligible,0.0006339999999999957,negligible,10000,42,42
ml-20m,bm25,128,i2i,flatpq,flat,map,-0.0005759920634920632,-0.011395723180052409,negligible,0.0003515000000000046,negligible,10000,42,42
ml-20m,bm25,128,i2i,flatpq,flat,mrr,-0.0005759920634920632,-0.011395723180052409,negligible,0.0003515000000000046,negligible,10000,42,42
ml-20m,bm25,128,i2i,flatpq,flat,ndcg,-0.0003862084909596261,-0.007061022975169799,negligible,0.0003515000000000046,negligible,10000,42,42
ml-20m,bm25,128,i2i,flatpq,flat,precision,5.000000000000143e-05,0.003940385591842608,negligible,0.0006339999999999957,negligible,10000,42,42
ml-20m,bm25,128,i2i,flatpq,flat,recall,0.0005000000000000004,0.003940385591842607,negligible,0.0006339999999999957,negligible,10000,42,42
ml-20m,bm25,128,i2i,hnsw,flat,hr,0.0,0.0,negligible,0.00020199999999999385,negligible,10000,42,42
ml-20m,bm25,128,i2i,hnsw,flat,map,0.0,0.0,negligible,7.749999999999424e-05,negligible,10000,42,42
ml-20m,bm25,128,i2i,hnsw,flat,mrr,0.0,0.0,negligible,7.749999999999424e-05,negligible,10000,42,42
ml-20m,bm25,128,i2i,hnsw,flat,ndcg,0.0,0.0,negligible,7.749999999999424e-05,negligible,10000,42,42
ml-20m,bm25,128,i2i,hnsw,flat,precision,0.0,0.0,negligible,0.00020199999999999385,negligible,10000,42,42
ml-20m,bm25,128,i2i,hnsw,flat,recall,0.0,0.0,negligible,0.00020199999999999385,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfflat,flat,hr,-0.0005000000000000004,-0.015076526770714166,negligible,-0.0003510000000000041,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfflat,flat,map,-0.00029317460317460076,-0.018450699653012152,negligible,-0.0004745000000000027,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfflat,flat,mrr,-0.00029317460317460076,-0.018450699653012152,negligible,-0.0004745000000000027,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfflat,flat,ndcg,-0.0003426798226470948,-0.018527278312261707,negligible,-0.0004745000000000027,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfflat,flat,precision,-4.99999999999997e-05,-0.015076526770714162,negligible,-0.0003510000000000041,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfflat,flat,recall,-0.0005000000000000004,-0.015076526770714166,negligible,-0.0003510000000000041,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfpq,flat,hr,0.0011000000000000038,0.01025757965225796,negligible,0.001302499999999998,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfpq,flat,map,4.503968253968815e-05,0.001029383618693204,negligible,0.0011025000000000063,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfpq,flat,mrr,4.503968253968815e-05,0.001029383618693204,negligible,0.0011025000000000063,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfpq,flat,ndcg,0.0002754721716816677,0.005961749789630767,negligible,0.0011025000000000063,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfpq,flat,precision,0.00011000000000000072,0.010257579652257959,negligible,0.001302499999999998,negligible,10000,42,42
ml-20m,bm25,128,i2i,ivfpq,flat,recall,0.0011000000000000038,0.01025757965225796,negligible,0.001302499999999998,negligible,10000,42,42
ml-20m,bm25,128,u2i,flatpq,flat,hr,-0.0010999999999999899,-0.005090004372797083,negligible,-0.0012920000000000015,negligible,10000,42,42
ml-20m,bm25,128,u2i,flatpq,flat,map,0.0004972222222222218,0.005373552324860993,negligible,-0.0012579999999999952,negligible,10000,42,42
ml-20m,bm25,128,u2i,flatpq,flat,mrr,0.0004972222222222218,0.005373552324860993,negligible,-0.0012579999999999952,negligible,10000,42,42
ml-20m,bm25,128,u2i,flatpq,flat,ndcg,0.00011922175148309372,0.0011357007517642324,negligible,-0.0012579999999999952,negligible,10000,42,42
ml-20m,bm25,128,u2i,flatpq,flat,precision,-0.00011000000000000072,-0.005090004372797086,negligible,-0.0012920000000000015,negligible,10000,42,42
ml-20m,bm25,128,u2i,flatpq,flat,recall,-0.0010999999999999899,-0.005090004372797083,negligible,-0.0012920000000000015,negligible,10000,42,42
ml-20m,bm25,128,u2i,hnsw,flat,hr,0.0,0.0,negligible,-0.0002334999999999976,negligible,10000,42,42
ml-20m,bm25,128,u2i,hnsw,flat,map,0.0,0.0,negligible,-0.0002940000000000026,negligible,10000,42,42
